image_path,sofifa_id,short_name,primary_position,role,label
/kaggle/working/images/Goalkeeper/207926.png,207926,A. Linde,GK,Goalkeeper,0
/kaggle/working/images/Goalkeeper/263851.png,263851,A. Paulsen,GK,Goalkeeper,0
/kaggle/working/images/Goalkeeper/247894.png,247894,Ș. Fara,GK,Goalkeeper,0
/kaggle/working/images/Goalkeeper/252730.png,252730,R. Sinclair,GK,Goalkeeper,0
/kaggle/working/images/Goalkeeper/223573.png,223573,Munir,GK,Goalkeeper,0
/kaggle/working/images/Goalkeeper/247626.png,247626,D. Singh Moirangthem,GK,Goalkeeper,0
/kaggle/working/images/Goalkeeper/247944.png,247944,C. Straton,GK,Goalkeeper,0
/kaggle/working/images/Goalkeeper/158121.png,158121,B. Costil,GK,Goalkeeper,0
/kaggle/working/images/Goalkeeper/216175.png,216175,C. Stanković,GK,Goalkeeper,0
/kaggle/working/images/Goalkeeper/193911.png,193911,S. Paul,GK,Goalkeeper,0
/kaggle/working/images/Goalkeeper/263171.png,263171,V. Lesieur,GK,Goalkeeper,0
/kaggle/working/images/Goalkeeper/232654.png,232654,L. Malagón,GK,Goalkeeper,0
/kaggle/working/images/Goalkeeper/214582.png,214582,C. Bonilla,GK,Goalkeeper,0
/kaggle/working/images/Goalkeeper/255994.png,255994,V. Mendoza,GK,Goalkeeper,0
/kaggle/working/images/Goalkeeper/156253.png,156253,J. Lewis,GK,Goalkeeper,0
/kaggle/working/images/Goalkeeper/244712.png,244712,K. Silva,GK,Goalkeeper,0
/kaggle/working/images/Goalkeeper/257085.png,257085,T. Ur,GK,Goalkeeper,0
/kaggle/working/images/Goalkeeper/233267.png,233267,M. Turner,GK,Goalkeeper,0
/kaggle/working/images/Goalkeeper/205186.png,205186,P. Gazzaniga,GK,Goalkeeper,0
/kaggle/working/images/Goalkeeper/236241.png,236241,G. Viscarra,GK,Goalkeeper,0
/kaggle/working/images/Goalkeeper/210140.png,210140,A. Al Mayoof,GK,Goalkeeper,0
/kaggle/working/images/Goalkeeper/224599.png,224599,Yan Junling,GK,Goalkeeper,0
/kaggle/working/images/Goalkeeper/260106.png,260106,G. Singh,GK,Goalkeeper,0
/kaggle/working/images/Goalkeeper/215491.png,215491,K. Rosa,GK,Goalkeeper,0
/kaggle/working/images/Goalkeeper/217805.png,217805,A. Martín Arias,GK,Goalkeeper,0
/kaggle/working/images/Goalkeeper/230893.png,230893,O. Evans,GK,Goalkeeper,0
