image_path,sofifa_id,short_name,primary_position,role,label
/kaggle/working/images/Goalkeeper/211033.png,211033,L. García,GK,Goalkeeper,0
/kaggle/working/images/Goalkeeper/238503.png,238503,L. Weinkauf,GK,Goalkeeper,0
/kaggle/working/images/Goalkeeper/222095.png,222095,C. Burton,GK,Goalkeeper,0
/kaggle/working/images/Goalkeeper/205849.png,205849,E. Andrada,GK,Goalkeeper,0
/kaggle/working/images/Goalkeeper/259257.png,259257,Lluis Tarrés,GK,Goalkeeper,0
/kaggle/working/images/Midfielder/197891.png,197891,Juanmi,LM,Midfielder,2
/kaggle/working/images/Defender/210665.png,210665,M. Halstenberg,CB,Defender,1
/kaggle/working/images/Forward/260290.png,260290,M. Pieringer,ST,Forward,3
/kaggle/working/images/Defender/247863.png,247863,K. Takahata,CB,Defender,1
/kaggle/working/images/Forward/210901.png,210901,F. Al Johani,ST,Forward,3
/kaggle/working/images/Defender/211888.png,211888,M. Willsch,RB,Defender,1
/kaggle/working/images/Midfielder/261137.png,261137,M. Rogoski,CM,Midfielder,2
/kaggle/working/images/Goalkeeper/260967.png,260967,A. Păun,GK,Goalkeeper,0
/kaggle/working/images/Defender/215399.png,215399,Rúben Vezo,CB,Defender,1
/kaggle/working/images/Goalkeeper/215213.png,215213,A. Werner,GK,Goalkeeper,0
/kaggle/working/images/Midfielder/235670.png,235670,R. Lundqvist,CM,Midfielder,2
/kaggle/working/images/Defender/259036.png,259036,V. Korniienko,LB,Defender,1
/kaggle/working/images/Forward/197981.png,197981,S. Makienok,ST,Forward,3
/kaggle/working/images/Forward/225926.png,225926,Pere Milla,ST,Forward,3
/kaggle/working/images/Goalkeeper/264475.png,264475,M. Boylan,GK,Goalkeeper,0
/kaggle/working/images/Defender/242054.png,242054,Igor Silva,RB,Defender,1
/kaggle/working/images/Forward/263094.png,263094,M. Wallner,LW,Forward,3
/kaggle/working/images/Goalkeeper/254562.png,254562,A. Abaz,GK,Goalkeeper,0
/kaggle/working/images/Defender/155334.png,155334,Kang Min Soo,CB,Defender,1
/kaggle/working/images/Midfielder/203603.png,203603,M. Pospíšil,CDM,Midfielder,2
/kaggle/working/images/Defender/236258.png,236258,N. Loyola,LB,Defender,1
/kaggle/working/images/Midfielder/264120.png,264120,A. Moran,CAM,Midfielder,2
/kaggle/working/images/Midfielder/234586.png,234586,D. Al Qarni,CM,Midfielder,2
/kaggle/working/images/Defender/184269.png,184269,M. Ellis,CB,Defender,1
/kaggle/working/images/Defender/224433.png,224433,K. Burger,CB,Defender,1
/kaggle/working/images/Forward/263451.png,263451,F. Galván,ST,Forward,3
/kaggle/working/images/Midfielder/262901.png,262901,E. Mirchev,CDM,Midfielder,2
/kaggle/working/images/Midfielder/232655.png,232655,S. Juklerød,LM,Midfielder,2
/kaggle/working/images/Midfielder/199584.png,199584,M. Kieftenbeld,CDM,Midfielder,2
/kaggle/working/images/Midfielder/232090.png,232090,G. Aburjania,CM,Midfielder,2
/kaggle/working/images/Goalkeeper/252241.png,252241,D. Rouyard,GK,Goalkeeper,0
/kaggle/working/images/Defender/260123.png,260123,W. De Buyser,LB,Defender,1
/kaggle/working/images/Goalkeeper/242879.png,242879,M. Vandevoordt,GK,Goalkeeper,0
/kaggle/working/images/Defender/244950.png,244950,J. Rodríguez,CB,Defender,1
/kaggle/working/images/Defender/191980.png,191980,Yun Suk Young,CB,Defender,1
/kaggle/working/images/Defender/197937.png,197937,P. Djilobodji,CB,Defender,1
/kaggle/working/images/Goalkeeper/253688.png,253688,M. Popa,GK,Goalkeeper,0
/kaggle/working/images/Midfielder/210475.png,210475,M. Prietl,CDM,Midfielder,2
/kaggle/working/images/Goalkeeper/261984.png,261984,Wang Jinshuai,GK,Goalkeeper,0
/kaggle/working/images/Goalkeeper/243720.png,243720,P. Sokół,GK,Goalkeeper,0
/kaggle/working/images/Forward/263984.png,263984,M. Berte,ST,Forward,3
/kaggle/working/images/Goalkeeper/260918.png,260918,T. Romero,GK,Goalkeeper,0
/kaggle/working/images/Forward/257566.png,257566,Pablo Moreno,ST,Forward,3
/kaggle/working/images/Forward/192778.png,192778,I. Mboyo,ST,Forward,3
/kaggle/working/images/Defender/257646.png,257646,J. Kiełb,LB,Defender,1
/kaggle/working/images/Goalkeeper/229817.png,229817,R. Swete,GK,Goalkeeper,0
/kaggle/working/images/Forward/239380.png,239380,N. Lang,LW,Forward,3
/kaggle/working/images/Defender/244537.png,244537,M. Naderi,LB,Defender,1
/kaggle/working/images/Forward/252710.png,252710,R. Tachie,ST,Forward,3
/kaggle/working/images/Forward/243632.png,243632,C. Abi,ST,Forward,3
/kaggle/working/images/Goalkeeper/234577.png,234577,Diogo Costa,GK,Goalkeeper,0
/kaggle/working/images/Defender/256500.png,256500,N. Collins,CB,Defender,1
/kaggle/working/images/Forward/185260.png,185260,D. Kadah,ST,Forward,3
/kaggle/working/images/Forward/258685.png,258685,J. Muleka,ST,Forward,3
/kaggle/working/images/Goalkeeper/258383.png,258383,P. Morrison,GK,Goalkeeper,0
/kaggle/working/images/Defender/263257.png,263257,K. Tabiś,RWB,Defender,1
/kaggle/working/images/Forward/257159.png,257159,Luís Santos,LW,Forward,3
/kaggle/working/images/Midfielder/183632.png,183632,R. Tesche,CDM,Midfielder,2
/kaggle/working/images/Goalkeeper/253846.png,253846,R. Bentancur,GK,Goalkeeper,0
/kaggle/working/images/Forward/222357.png,222357,B. Embolo,ST,Forward,3
/kaggle/working/images/Midfielder/252165.png,252165,S. Van Dessel,CM,Midfielder,2
/kaggle/working/images/Midfielder/232665.png,232665,M. Arambarri,CDM,Midfielder,2
/kaggle/working/images/Midfielder/234319.png,234319,L. Travis,CDM,Midfielder,2
/kaggle/working/images/Defender/212065.png,212065,Jeong Dong Ho,RB,Defender,1
/kaggle/working/images/Goalkeeper/189061.png,189061,S. Burchert,GK,Goalkeeper,0
/kaggle/working/images/Goalkeeper/157804.png,157804,S. Carson,GK,Goalkeeper,0
/kaggle/working/images/Goalkeeper/116314.png,116314,D. Martin,GK,Goalkeeper,0
/kaggle/working/images/Goalkeeper/253497.png,253497,P. Bonet,GK,Goalkeeper,0
/kaggle/working/images/Goalkeeper/204825.png,204825,B. Wilson,GK,Goalkeeper,0
/kaggle/working/images/Forward/222993.png,222993,Y. Kakitani,CF,Forward,3
/kaggle/working/images/Defender/226815.png,226815,A. Dia,LB,Defender,1
/kaggle/working/images/Midfielder/235987.png,235987,I. Gómez,CDM,Midfielder,2
/kaggle/working/images/Defender/172561.png,172561,M. Lumb,LWB,Defender,1
/kaggle/working/images/Midfielder/235432.png,235432,M. Munetsi,CDM,Midfielder,2
/kaggle/working/images/Goalkeeper/212719.png,212719,D. Castanheira,GK,Goalkeeper,0
/kaggle/working/images/Midfielder/262066.png,262066,J. Troya,RM,Midfielder,2
/kaggle/working/images/Midfielder/189575.png,189575,Muniain,CAM,Midfielder,2
/kaggle/working/images/Goalkeeper/259085.png,259085,F. Tapia,GK,Goalkeeper,0
/kaggle/working/images/Goalkeeper/211105.png,211105,N. Flø,GK,Goalkeeper,0
/kaggle/working/images/Goalkeeper/243476.png,243476,M. Borgogno,GK,Goalkeeper,0
/kaggle/working/images/Midfielder/234264.png,234264,Jeong Seung Won,RM,Midfielder,2
/kaggle/working/images/Midfielder/255675.png,255675,X. Flores,CM,Midfielder,2
/kaggle/working/images/Defender/211067.png,211067,D. Del Fabro,CB,Defender,1
/kaggle/working/images/Forward/192671.png,192671,M. Rondón,ST,Forward,3
/kaggle/working/images/Goalkeeper/207610.png,207610,R. Meara,GK,Goalkeeper,0
/kaggle/working/images/Goalkeeper/256156.png,256156,R. Morínigo,GK,Goalkeeper,0
/kaggle/working/images/Defender/204307.png,204307,J. Korb,RB,Defender,1
/kaggle/working/images/Goalkeeper/204502.png,204502,M. Ingram,GK,Goalkeeper,0
/kaggle/working/images/Midfielder/222148.png,222148,O. Duda,CAM,Midfielder,2
/kaggle/working/images/Defender/263968.png,263968,K. Sow,CB,Defender,1
/kaggle/working/images/Midfielder/173155.png,173155,A. Barillà,CM,Midfielder,2
/kaggle/working/images/Forward/201966.png,201966,A. Søderlund,ST,Forward,3
/kaggle/working/images/Forward/184747.png,184747,C. Martin,ST,Forward,3
/kaggle/working/images/Forward/243360.png,243360,N. Fröling,CF,Forward,3
/kaggle/working/images/Forward/221197.png,221197,F. Onyedinma,LW,Forward,3
/kaggle/working/images/Midfielder/241160.png,241160,G. McEachran,CM,Midfielder,2
/kaggle/working/images/Defender/211363.png,211363,T. Lockyer,CB,Defender,1
/kaggle/working/images/Defender/258210.png,258210,N. Marichal,CB,Defender,1
/kaggle/working/images/Defender/262004.png,262004,M. Campagna,CB,Defender,1
/kaggle/working/images/Midfielder/219525.png,219525,E. Cerutti,RM,Midfielder,2
/kaggle/working/images/Goalkeeper/229542.png,229542,A. Desmas,GK,Goalkeeper,0
/kaggle/working/images/Defender/258598.png,258598,N. Khacef,LB,Defender,1
/kaggle/working/images/Defender/222692.png,222692,B. Schmitz,RB,Defender,1
/kaggle/working/images/Defender/211189.png,211189,B. Meccariello,CB,Defender,1
/kaggle/working/images/Goalkeeper/258409.png,258409,R. Pop,GK,Goalkeeper,0
/kaggle/working/images/Goalkeeper/225213.png,225213,G. Singh Sandhu,GK,Goalkeeper,0
/kaggle/working/images/Defender/259217.png,259217,S. Fernandes,LB,Defender,1
/kaggle/working/images/Forward/25798.png,25798,R. Santa Cruz,ST,Forward,3
/kaggle/working/images/Midfielder/262495.png,262495,Gorka Larrucea,CDM,Midfielder,2
/kaggle/working/images/Forward/260506.png,260506,V. Angelov,ST,Forward,3
/kaggle/working/images/Midfielder/246979.png,246979,Elliot Simões,LM,Midfielder,2
/kaggle/working/images/Forward/207828.png,207828,C. Stockton,ST,Forward,3
/kaggle/working/images/Midfielder/241462.png,241462,R. Guerra,CDM,Midfielder,2
/kaggle/working/images/Midfielder/258465.png,258465,Ž. Rogelj,RM,Midfielder,2
/kaggle/working/images/Defender/262158.png,262158,Y. Nadrani,CB,Defender,1
/kaggle/working/images/Goalkeeper/166097.png,166097,F. Öztürk,GK,Goalkeeper,0
/kaggle/working/images/Midfielder/252758.png,252758,D. Devoy,CM,Midfielder,2
/kaggle/working/images/Defender/242958.png,242958,P. Jaeckel,CB,Defender,1
/kaggle/working/images/Forward/263921.png,263921,M. Altıntaş,LW,Forward,3
